model,best_score_refit_f2,best_mean_test_recall,best_mean_test_precision,best_mean_test_f2,best_mean_test_pr_auc,best_params
svc_rbf,0.9161179874239445,0.9449244149927521,0.8169511723909567,0.9161179874239445,0.9218513247774178,"{'clf__C': np.float64(72.86653737491046), 'clf__gamma': np.float64(0.026619018884890575)}"
rf,0.9004035009439676,0.9253489335266101,0.813166819850568,0.9004035009439676,0.9231459389002638,"{'clf__max_depth': 10, 'clf__n_estimators': 220}"
knn,0.8993157402676617,0.9221660799337336,0.818402879911516,0.8993157402676617,0.9150063024580002,"{'clf__n_neighbors': 30, 'clf__weights': 'distance'}"
hgb,0.8897495063947009,0.8989521640091116,0.8554145719222896,0.8897495063947009,0.9315305000993728,"{'clf__learning_rate': np.float64(0.052466345336252856), 'clf__max_leaf_nodes': 21}"
logreg,0.8739776901310055,0.9194357009732863,0.7299285724954349,0.8739776901310055,0.8108677947640999,{'clf__C': np.float64(4.5705630998014515)}
