group_id,label,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
K2-268 e,1,6.131243,,0.42,2.54,,0.0155,,16.93,1.33,,801.0,,5106.0,4.58,0.03,0.78,0.84
K2-268 f,1,26.27057,,0.39,4.62,,0.0259,,41.41,2.23,,492.0,,5106.0,4.58,0.03,0.78,0.84
K2-269 b,1,4.144965,,0.42,,,0.01,,10.07,1.57,0.0531,1429.0,,6209.0,4.18,-0.08,1.45,1.16
K2-27 b,1,6.771347,,,,,,,,4.74,,836.0,116.0,5246.0,4.48,0.12,0.876,0.88
K2-270 b,1,1.543069,,0.42,,,0.0164,,6.04,1.38,0.0247,1203.0,,4877.0,4.59,0.26,0.77,0.85
K2-270 c,1,4.400028,,0.38,,,0.035,,20.94,2.95,0.0497,848.0,,4877.0,4.59,0.26,0.77,0.85
K2-271 b,1,8.562421,,0.3,,,0.0674,,20.69,7.28,0.077,893.0,,5644.0,4.37,-0.3,0.99,0.83
K2-272 b,1,14.4536756,,0.58,,,0.0343,,26.16,3.13,0.1007,747.0,,5397.0,4.53,-0.09,0.83,0.86
K2-273 b,1,11.7195663,,0.37,,,0.0327,,18.49,3.05,0.0729,849.0,,5161.0,4.53,0.2,0.85,0.89
K2-274 b,1,14.1330314,,0.34,,,0.0273,,29.68,2.08,0.0964,655.0,,5044.0,4.64,-0.16,0.7,0.79
K2-275 b,1,3.2809626,,0.77,,,0.0311,,8.61,2.34,0.0277,1166.0,,4841.0,4.65,-0.06,0.69,0.77
K2-275 c,1,8.4388385,,0.33,,,0.0293,,27.5,2.21,0.0881,653.0,,4841.0,4.65,-0.06,0.69,0.77
K2-276 b,1,18.718269,,0.38,,,0.0405,,21.07,3.77,0.1291,583.0,,5139.0,4.49,0.07,0.85,0.82
K2-277 b,1,6.326768,0.52,0.53,1.9656,417.99999999999994,0.02045,86.83,14.68,2.18575124,0.0664,1049.0,,5680.0,4.452,0.078,0.973,0.974
K2-278 b,1,3.334966,,0.43,,,0.0169,,6.24,2.98,0.0488,1711.0,,6747.0,4.17,0.0,1.61,1.4
K2-279 b,1,7.122605,,0.54,,,0.0129,,14.45,1.21,0.067,879.0,,5558.0,4.46,-0.37,0.86,0.79
K2-28 b,1,2.260455,0.0,0.36,,,0.0737,88.9,17.9,2.32,0.0214,568.0,,3214.0,4.93,0.26,0.288,0.257
K2-280 b,1,19.89526,0.35,0.27,8.267,,0.05354,89.53,25.79,7.5,0.1461,787.0,,5500.0,4.21,0.33,1.28,1.03
K2-281 b,1,8.687721,,0.23,,,0.0987,,25.9,8.18,0.0773,665.0,,4812.0,4.59,0.22,0.76,0.82
K2-282 b,1,4.169783,,,,,0.0227,90.1,11.0,2.5,,,,5499.0,4.5,-0.23,1.0,
K2-283 b,1,1.921036,,0.37,,,0.0393,,8.23,3.52,0.0291,1186.0,,5060.0,4.56,0.28,0.82,0.89
K2-284 b,1,4.795069,0.078,0.28,2.147,,0.042,89.0,16.84,2.78,0.04771,653.0,42.6,4140.0,4.67,0.0,0.607,0.63
K2-285 b,1,3.471745,0.0,0.57,2.18,970.0,0.03013,86.846,10.43,2.59,0.03817,1088.9,234.31,4975.0,4.4,0.0,0.787,0.83
K2-285 c,1,7.138048,0.0,0.05,2.52,2100.0,0.0411476,89.861,22.51,3.53,0.0824,741.4,50.35,4975.0,4.4,0.0,0.787,0.83
K2-285 d,1,10.45582,0.0,0.2,2.504,1000.0,0.0288961,89.6431,32.2,2.48,0.1178,619.9,24.61,4975.0,4.4,0.0,0.787,0.83
K2-285 e,1,14.76289,0.0,0.17,2.3,680.0,0.0227044,89.7994,49.43,1.95,0.18041,500.9,10.5,4975.0,4.4,0.0,0.787,0.83
K2-286 b,1,27.359,,0.35,3.0,1120.0,0.0315,89.67,63.0,2.1,0.1768,347.0,,3926.0,4.7,0.0,0.62,0.64
K2-287 b,1,14.893291,0.478,,,,0.08014,88.13,23.87,9.494023,0.1206,804.0,,5695.0,4.398,0.2,1.07,1.056
K2-288 B b,1,31.393463,,0.37,2.112,,0.049,89.81,110.2,1.9,0.164,226.36,,3341.0,4.96,-0.21,0.32,0.33
K2-289 b,1,13.156969,,0.6,4.032,,0.081,88.48,22.5,9.1,0.107,753.0,,5529.0,4.393,0.162,1.025,0.953
