group_id,label,orbital_period_days,eccentricity,arg_periastron_deg,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_age_gyr
EPIC 201534540.01,CANDIDATE,2.72273204,,,,3.596,1.494,,,,,,,,8002.0,3.81097,,2.85976,1.93,
EPIC 201541160.01,CANDIDATE,15.695142,,,0.353,2.9,,0.0297,,40.23,2.028,,,,4270.0,4.719,-0.315,0.625,0.743,
EPIC 201543531.01,CANDIDATE,2.48038,,,,1.848,0.0116,0.0104,,8.5,1.44,,,,,,,1.27,,
EPIC 201546136.01,CANDIDATE,1.96712,,,,2.712,0.0361,0.0192,,4.4,1.73,,,,,,,0.826,,
EPIC 201556134.01,CANDIDATE,12.726743,,,0.26,3.88,0.0579,0.02141,,,1.91,,,,4767.0,,,0.73,,
EPIC 201561956.01,CANDIDATE,13.2359,,,,2.64,0.0469,0.0208,,33.4,2.09,,,,,,,0.924,,
EPIC 201563164.01,CANDIDATE,0.18746328,,,0.9,1.07,1.32,0.1236,,,217.0,,,,46696.0,,,17.27,,
EPIC 201565013.01,CANDIDATE,8.63795,,,,2.0472,2.738,0.317,,26.16,15.1,,,,,,,0.438,,
EPIC 201577017.01,CANDIDATE,0.4775252,,,,2.0472,1.5255,0.353,,1.933,20.1,,,,,,,0.522,,
EPIC 201577112.01,CANDIDATE,44.394,,,,2.784,1.517,0.1174,,123.0,4.07,,,,,,,0.318,,
EPIC 201588420.01,CANDIDATE,3.29163,,,,1.2888,0.0394,0.0189,,17.1,1.17,,,,,,,0.567,,
EPIC 201596733.01,CANDIDATE,2.896528,,,,1.5984,0.3274,0.0551,,12.6,1.45,,,,,,,0.242,,
EPIC 201606542.01,CANDIDATE,0.444372,,,,,,0.0136,86.9,8.3,1.22,,,,5540.0,4.81,0.03,0.82,,
EPIC 201617985.01,CANDIDATE,7.28076,,,,1.872,0.1293,0.06,,12.1,2.6,,,,,,,0.399,,
EPIC 201619647.01,CANDIDATE,4.58328,,,,2.208,0.152,0.0372,,14.6,2.21,,,,,,,0.545,,
EPIC 201619647.02,CANDIDATE,1.65336,,,,1.608,0.0686,0.0254,,6.8,1.51,,,,,,,0.545,,
EPIC 201626686.01,CANDIDATE,5.28130579,,,,3.552,0.074,,,,,,,,6161.41,3.65337,0.047,2.66957,1.17,
EPIC 201631267.01,CANDIDATE,440.0,,,1.05,,,0.176,,,16.3,,,,4600.0,,,0.85,,
EPIC 201635132.01,CANDIDATE,30.0,,,0.97,,,0.24,,,22.8,,,,3400.0,,,0.89,,
EPIC 201635132.02,CANDIDATE,,,,,5.16,3.177,0.38,,,24.9,,,,,,,0.6009,,
EPIC 201639576.01,CANDIDATE,7.655533,,,0.203,3.0,,0.0284,,19.35,2.328,,,,5114.0,4.687,-0.144,0.751,1.004,
EPIC 201650711.01,CANDIDATE,0.259669,,,,,,0.0102,82.1,3.1,0.77,,,,4340.0,4.25,-0.81,0.69,,
EPIC 201650711.02,CANDIDATE,5.54583,,,,2.088,0.0152,0.0119,,17.4,0.441,,,,,,,0.34,,
EPIC 201654498.01,CANDIDATE,18.4502,,,,3.72,0.085,0.0322,,26.0,2.52,,,,,,,0.717,,
EPIC 201663879.02,CANDIDATE,35.621,,,0.35,,0.045,,89.77,,1.89,0.3501,420.0,,5440.0,4.512,,0.898,0.954,
EPIC 201666578.01,CANDIDATE,4.1333,,,,1.704,0.112,0.0352,,13.3,1.2,,,,,,,0.312,,
EPIC 201683540.01,CANDIDATE,1.9611469,,,0.78,1.33,0.727,0.08768,,,5.93,,,,4166.0,,,0.64,,
EPIC 201702477.01,CANDIDATE,40.7302,,,,2.6496,,0.0719,,,7.8,,,,5840.0,4.44,,0.98,,
EPIC 201705526.01,CANDIDATE,18.10220826,,,,4.521,0.78,,,,,,,,6141.1,3.88145,-0.0886,2.04778,1.164,
EPIC 201717159.01,CANDIDATE,0.60408352,,,0.38,0.97,0.0963,0.02829,,,2.26,,,,4331.0,,,0.67,,
EPIC 201717274.01,CANDIDATE,3.52725,,,,1.68,0.199,0.043,,14.2,1.21,,,,,,,0.257,,
EPIC 201720401.01,CANDIDATE,6340.0,,,0.15,,,0.133,,,12.8,,,,4800.0,,,0.88,,
EPIC 201729655.01,CANDIDATE,9.321691,,,0.315,3.6,,0.234,,23.48,17.325,,,,5089.0,4.712,-0.255,0.678,0.787,
EPIC 201732557.01,CANDIDATE,6.662,,,,3.072,0.0946,0.0302,,13.8,1.59,,,,,,,0.483,,
EPIC 201775904.01,CANDIDATE,,,,,4.8072,1.3972,0.253,,,35.0,,,,,,,1.266,,
EPIC 201785059.01,CANDIDATE,1.395336,,,,1.2312,0.0665,0.0248,,7.8,0.76,,,,,,,0.28,,
EPIC 201793642.01,CANDIDATE,15.3791,,,,2.28,0.256,0.0516,,41.0,1.89,,,,,,,0.336,,
EPIC 201828749.01,CANDIDATE,33.5116,,,,5.352,0.0732,0.0302,,21.3,2.89,,,,,,,0.875,,
EPIC 201837434.01,CANDIDATE,6.97251,,,,2.808,0.0916,0.0294,,16.1,2.01,,,,,,,0.6252,,
EPIC 201841433.01,CANDIDATE,12.3389,,,,2.76,0.1021,0.0308,,29.5,2.11,,,,,,,0.628,,
EPIC 201846824.01,CANDIDATE,2.89465,,,,1.44,0.0551,0.0228,,13.3,1.75,,,,,,,0.702,,
EPIC 201856786.01,CANDIDATE,3.83794,,,,2.112,0.0315,0.0172,,12.0,1.51,,,,,,,0.809,,
EPIC 201856786.02,CANDIDATE,5.24086,,,,2.568,0.0292,0.0166,,13.5,1.46,,,,,,,0.809,,
EPIC 201892470.01,CANDIDATE,2790.0,,,1.07,,,0.121,,,12.2,,,,5100.0,,,0.93,,
EPIC 201896171.01,CANDIDATE,8.91058,,,,2.88,0.0592,0.0249,,18.1,2.8,,,,,,,1.028,,
EPIC 201920032.01,CANDIDATE,28.2671,,,,4.224,0.0757,0.0263,,47.3,2.94,,,,,,,1.028,,
