group_id,label,orbital_period_days,eccentricity,arg_periastron_deg,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_age_gyr
EPIC 205489894.01,CANDIDATE,14.65835,,,,1.548,0.1029,0.0303,,66.3,1.12,,,,,,,0.339,,
EPIC 205503762.01,CANDIDATE,6.4349,,,,4.344,0.0263,0.0152,,9.9,2.47,,,,,,,1.493,,
EPIC 205530323.01,CANDIDATE,4.27065,,,,1.392,0.22,0.0453,,21.7,7.6,,,,,,,1.5,,
EPIC 205530323.02,CANDIDATE,7.64309,,,,1.296,0.236,0.0479,,39.0,8.0,,,,,,,1.5,,
EPIC 205570849.01,CANDIDATE,16.858,,,,2.0592,,0.047,,,5.6,,,,5957.0,4.351,,1.07,,
EPIC 205618538.01,CANDIDATE,2.167697,,,,4.8744,0.2228,0.04472,,3.46,12.14,,,,,,,2.489,,
EPIC 205632508.01,CANDIDATE,19.2299,,,,2.568,0.0922,0.0293,,51.0,1.96,,,,,,,0.612,,
EPIC 205652650.01,CANDIDATE,5.07152,,,,2.04,0.216,0.068,,8.8,3.2,,,,,,,0.426,,
EPIC 205703094.01,CANDIDATE,8.1191,,,,2.904,,0.45,,,57.0,,,,6040.0,4.32,,1.2,,
EPIC 205703094.02,CANDIDATE,16.235,,,,5.904,,0.086,,,11.0,,,,6040.0,4.32,,1.2,,
EPIC 205938820.01,CANDIDATE,4.20773,,,,2.232,0.0277,0.0161,,12.6,1.47,,,,,,,0.834,,
EPIC 205939498.01,CANDIDATE,1.1761477,,,,1.3056,0.136,0.074,,2.87,19.3,,,,,,,2.38,,
EPIC 205943325.01,CANDIDATE,27.270191,,,0.375,7.3,,0.0142,,26.88,2.5,,,,6171.0,4.129,-0.077,1.612,1.275,
EPIC 205944181.01,CANDIDATE,2.475573,,,,0.8808,0.0898,0.0308,,16.8,2.98,,,,,,,0.888,,
EPIC 205947161.01,CANDIDATE,17.7259,,,,1.752,0.3338,0.123,,37.1,23.4,,,,,,,1.752,,
EPIC 205947214.01,CANDIDATE,54.169832,,,0.74,4.23,13.6,0.4052,,,22.0,,,,3836.0,,,0.55,,
EPIC 205951125.01,CANDIDATE,6.79143,,,,2.496,0.0739,0.0259,,18.2,1.72,,,,,,,0.609,,
EPIC 205957328.01,CANDIDATE,14.3533,,,,3.264,0.0625,0.0234,,30.0,2.18,,,,,,,0.855,,
EPIC 205962305.01,CANDIDATE,1.88282,,,,4.008,0.595,0.093,,2.4,2.6,,,,,,,0.257,,
EPIC 205969319.01,CANDIDATE,6.4756,,,,3.48,0.0174,0.0127,,12.4,1.85,,,,,,,1.339,,
EPIC 205976958.01,CANDIDATE,2.31803,,,,1.728,0.143,0.0364,,9.0,2.34,,,,,,,0.589,,
EPIC 205981465.01,CANDIDATE,6.37733,,,,1.584,0.0769,0.0267,,26.7,0.76,,,,,,,0.262,,
EPIC 205996447.01,CANDIDATE,0.80032756,,,0.77,2.0,10.4,0.3618,,,21.3,,,,4028.0,,,0.61,,
EPIC 205998649.01,CANDIDATE,8.3958,,,,6.696,0.034,0.0181,,7.8,3.95,,,,,,,1.996,,
EPIC 205999468.01,CANDIDATE,12.26422,,,,1.68,0.0726,0.0268,,46.0,2.22,,,,,,,0.7596,,
EPIC 206011849.01,CANDIDATE,10.3631,,,,2.592,0.062,0.0246,,25.0,1.64,,,,,,,0.613,,
EPIC 206028176.01,CANDIDATE,9.38053,,,,5.16,0.0385,0.01879,,12.5,2.89,,,,,,,1.412,,
EPIC 206029242.01,CANDIDATE,5.6505,,,,2.64,0.0164,0.0121,,14.2,1.33,,,,,,,1.012,,
EPIC 206029450.01,CANDIDATE,4.23119,,,,2.16,0.158,0.0386,,13.9,2.17,,,,,,,0.516,,
EPIC 206031623.01,CANDIDATE,9.9487,,,,3.648,0.01525,0.01191,,18.2,1.48,,,,,,,1.136,,
EPIC 206032309.01,CANDIDATE,4.1107634,,,0.0,1.31,0.263,0.04665,,,1.01,,,,2989.0,,,0.18,,
EPIC 206036749.01,CANDIDATE,1.131305,,,,1.236,0.1366,0.0321,,6.56,3.93,,,,,,,1.122,,
EPIC 206047055.01,CANDIDATE,4.1029,,,,5.088,0.0124,0.0106,,5.36,2.28,,,,,,,1.98,,
EPIC 206049452.01,CANDIDATE,14.454495,,,0.76,2.21,0.0843,0.02923,,,2.21,,,,4521.0,,,0.7,,
EPIC 206056433.01,CANDIDATE,28.564994,,,0.6,3.92,0.0914,0.02852,,,2.25,,,,4418.0,,,0.68,,
EPIC 206061524.01,CANDIDATE,5.879829,,,,2.5296,0.9542,0.0912,,17.6,6.97,,,,,,,0.701,,
EPIC 206114294.01,CANDIDATE,3.292013,,,,1.104,0.658,0.0783,,21.4,5.76,,,,,,,0.674,,
EPIC 206114630.01,CANDIDATE,7.445026,,,,,,0.025337,89.32857,54.673344,2.2805044,,,,5277.0,4.65,0.12,0.825169,,
EPIC 206133795.01,CANDIDATE,13.8543,,,,5.04,0.0269,0.0158,,18.3,3.18,,,,,,,1.848,,
EPIC 206135075.01,CANDIDATE,54.976021,,,0.66,5.9,6.46,0.2481,,,39.1,,,,6333.0,,,1.41,,
EPIC 206135170.01,CANDIDATE,2.59824,,,,1.044,0.87,0.0895,,18.1,7.7,,,,,,,0.788,,
EPIC 206135267.01,CANDIDATE,2.573088,,,,2.214,,0.1235,,,34.0,,,,5165.0,3.68,,2.5,,
EPIC 206135682.04,CANDIDATE,37.827,,,,3.408,0.0556,0.0226,,77.0,1.42,,,,,,,0.577,,
EPIC 206151047.01,CANDIDATE,0.3584061,,,,0.984,0.0341,0.0238,,1.43,2.66,,,,,,,1.03,,
EPIC 206152015.01,CANDIDATE,0.80858305,,,,2.199,1.022,,,,,,,,6151.8,,-0.81,2.31125,,
EPIC 206155922.01,CANDIDATE,4.00932,,,,1.896,0.0227,0.0146,,14.1,1.08,,,,,,,0.68,,
EPIC 206159027.02,CANDIDATE,20.6714,,,,2.472,0.0455,0.0205,,56.0,1.47,,,,,,,0.655,,
EPIC 206169157.01,CANDIDATE,,,,,5.592,0.2243,0.0402,,,7.72,,,,,,,1.763,,
EPIC 206169157.02,CANDIDATE,,,,,10.704,0.1821,0.162,,,31.1,,,,,,,1.763,,
EPIC 206169375.01,CANDIDATE,0.3674645,,,,0.8376,0.0631,0.03,,2.13,3.9,,,,,,,1.18,,
EPIC 206175552.01,CANDIDATE,6.57986525,,,,1.225,0.561,,,,,,,,5874.0,4.01131,,1.68281,1.06,
EPIC 206192335.01,CANDIDATE,3.59922,,,,1.896,0.036,0.0185,,12.3,1.63,,,,,,,0.809,,
EPIC 206208956.01,CANDIDATE,5.01038,,,,0.8376,0.0718,0.0257,,40.7,4.28,,,,,,,1.53,,
EPIC 206215704.01,CANDIDATE,3.11594,,,,0.984,0.162,0.0397,,20.2,1.59,,,,,,,0.367,,
EPIC 206226146.01,CANDIDATE,11.63547,,,,2.304,0.0767,0.0268,,34.2,2.6,,,,,,,0.892,,
EPIC 206260577.01,CANDIDATE,1.982116,,,,1.6032,0.3731,0.157,,5.04,35.0,,,,,,,2.05,,
EPIC 206262341.01,CANDIDATE,36.9321,,,,6.1032,0.0856,0.02864,,45.0,2.98,,,,,,,0.955,,
EPIC 206268084.01,CANDIDATE,8.4532,,,,3.48,0.0595,0.0234,,16.2,2.66,,,,,,,1.0419,,
EPIC 206298289.01,CANDIDATE,0.434832,,,,0.8952,0.0762,0.0265,,3.38,0.96,,,,,,,0.333,,
EPIC 206311743.01,CANDIDATE,4.31444335,,,,7.132,3.877,,,,,,,,4952.0,,,2.25969,,
EPIC 206312951.01,CANDIDATE,1.53402,,,,,,0.022,87.18,9.44,1.13,,,,3698.0,4.71992,,0.520027,0.517496,
EPIC 206315178.01,CANDIDATE,0.3176828,,,,0.8184,1.593,0.116,,3.07,11.9,,,,,,,0.944,,
EPIC 206329937.01,CANDIDATE,10.49927,,,,2.784,0.0575,0.0219,,26.1,1.43,,,,,,,0.599,,
EPIC 206344313.01,CANDIDATE,5.23189,,,,2.28,0.286,0.0529,,14.8,3.62,,,,,,,0.627,,
EPIC 206358352.01,CANDIDATE,1.13666,,,,1.248,0.0308,0.0169,,6.0,3.18,,,,,,,1.724,,
EPIC 206360885.01,CANDIDATE,12.4404,,,,3.984,0.169,0.0426,,18.5,2.72,,,,,,,0.586,,
EPIC 206360885.02,CANDIDATE,1.49462,,,,1.848,0.0779,0.0281,,5.0,1.8,,,,,,,0.586,,
EPIC 206369173.01,CANDIDATE,2.018725,,,,2.2344,0.0435,0.056,,2.36,91.0,,,,,,,14.96,,
EPIC 206403979.01,CANDIDATE,23.8039,,,,2.58,,0.21,,,12.0,,,,4840.0,4.809,,0.48,,
EPIC 206414361.01,CANDIDATE,3.47722,,,,2.088,0.0684,0.0253,,10.9,1.53,,,,,,,0.556,,
EPIC 206417197.01,CANDIDATE,0.442185,,,,1.56,0.0291,0.025,,1.22,2.02,,,,,,,0.754,,
EPIC 206439513.01,CANDIDATE,18.415126,,,,,,0.183689,64.28238,2.717431,69.44309317,,,,6211.0,3.56,-0.25,3.465887,,
EPIC 206461841.01,CANDIDATE,10.4404,,,,,,,89.9971,,0.6739,0.0828,,41.745,4893.0,4.596,0.04,0.746,0.8,
EPIC 206468053.01,CANDIDATE,27.837146,,,0.17,7.4,,0.0737,,30.33,5.149,,,,4241.0,4.696,-0.335,0.64,0.741,
EPIC 206476150.01,CANDIDATE,12.19649,,,,1.9272,0.0387,0.0192,,42.9,2.23,,,,,,,1.062,,
EPIC 206500801.01,CANDIDATE,8.15306759,,,,4.477,2.292,,,,,,,,5445.0,3.94879,,1.71199,0.95,
EPIC 206532093.01,CANDIDATE,2.2021868,,,0.64,6.27,29.2,0.5916,,,56.5,,,,5695.0,,,0.96,,
EPIC 206535016.01,CANDIDATE,20.3997,,,,1.6488,0.1066,0.0312,,85.0,2.65,,,,,,,0.778,,
EPIC 206543223.01,CANDIDATE,17.80345864,,,,3.201,4.843,,,,,,,,5561.99,4.29773,-0.01,1.16413,0.981,
EPIC 207389002.01,CANDIDATE,2.931226,,,,4.74888,,0.75,,,90.0,,,,6097.0,4.37,,1.12,,
EPIC 207739861.01,CANDIDATE,1.81449,,,,2.592,,0.27,,,27.0,,,,5614.0,4.49,,0.92,,
EPIC 208445756.01,CANDIDATE,22.4844,,,,6.69096,,0.65,,,79.0,,,,6173.0,4.35,,1.15,,
EPIC 208833261.01,CANDIDATE,3.47451,,,,4.2,,0.0536,,,10.6,,,,7143.0,4.117,,1.83,,
EPIC 209036259.01,CANDIDATE,0.369181,,,,0.7392,,0.0705,,,16.5,,,,6020.0,3.762,,2.22,,
EPIC 209286622.01,CANDIDATE,6.71694,,,,3.37992,,0.44,,,39.0,,,,5267.0,4.549,,0.82,,
EPIC 210365511.01,CANDIDATE,3.951971,,,,,,0.111884,38.93841,1.466826,8.44551389,,,,4672.0,4.63,-0.1,0.692034,,
EPIC 210371175.01,CANDIDATE,11.3256,,,,4.8,0.0427,0.0192,,16.1,2.18,,,,,,,1.043,,
EPIC 210384192.01,CANDIDATE,2.9237,,,,1.488,0.179,0.0411,,13.0,2.57,,,,,,,0.573,,
EPIC 210389383.01,CANDIDATE,14.08549,,,,6.36192,,0.14602,,,21.1,,,,5970.0,4.161,,1.32,,
EPIC 210394706.01,CANDIDATE,15.0818,,,,3.192,0.1161,0.0326,,32.3,1.83,,,,,,,0.514,,
EPIC 210394706.02,CANDIDATE,3.16363,,,,1.752,0.053,0.0222,,12.1,1.25,,,,,,,0.514,,
EPIC 210418253.01,CANDIDATE,23.9683,,,,,,,91.0247,,1.6119,0.1791,,28.046,5296.0,4.455,0.11,1.129,1.325,
EPIC 210423938.01,CANDIDATE,19.8606,,,,3.888,0.0903,0.0312,,28.0,2.21,,,,,,,0.648,,
EPIC 210463428.01,CANDIDATE,4.72046,,,,1.8168,3.96,0.207,,18.3,8.7,,,,,,,0.385,,
EPIC 210472483.01,CANDIDATE,1.1430018,,,,4.654,4.202,,,,,,,,5551.0,,,3.28495,,
EPIC 210495066.01,CANDIDATE,3.74234,,,,1.872,0.0944,0.0293,,13.8,1.61,,,,,,,0.502,,
EPIC 210508766.03,CANDIDATE,24.2747,,,,1.272,0.1239,0.0337,,130.0,1.56,,,,,,,0.424,,
EPIC 210524811.01,CANDIDATE,7.46967,,,,1.656,0.38,0.079,,18.9,2.4,,,,,,,0.279,,
EPIC 210550063.01,CANDIDATE,2.165976,,,,1.5264,0.05025,0.0217,,9.4,2.61,,,,,,,1.1,,
EPIC 210559259.01,CANDIDATE,14.26763,,,,3.624,0.1051,0.031,,27.5,2.04,,,,,,,0.603,,
EPIC 210564155.01,CANDIDATE,4.86496,,,,1.272,0.1561,0.0382,,25.7,1.09,,,,,,,0.261,,
EPIC 210576234.01,CANDIDATE,15.97700259,,,,4.926,2.99,,,,,,,,5692.43,,0.013,1.04527,,
EPIC 210598340.01,CANDIDATE,3.7342439,,,,5.736,1.2859,0.10655,,5.303,30.71,,,,,,,2.642,,
EPIC 210605073.01,CANDIDATE,0.5670195,,,,0.9624,1.246,0.11,,4.2,,,,,,,,,,
EPIC 210609658.01,CANDIDATE,14.145239,,,,,,0.06327,86.50001,8.065367,14.86409395,,,,5016.0,3.81,0.2,2.15381,,
EPIC 210625740.01,CANDIDATE,2.386772,,,,1.08,1.296,0.128,,12.6,4.0,,,,,,,0.286,,
EPIC 210626797.01,CANDIDATE,43.36143,,,,6.84,0.828,0.186,,28.5,29.8,,,,,,,1.472,,
EPIC 210629082.01,CANDIDATE,27.353103,,,,,,0.019308,88.95754,25.741857,3.05048319,,,,6148.0,4.15,0.28,1.448467,,
EPIC 210659688.01,CANDIDATE,2.357651,,,,0.8352,0.469,0.067,,19.3,1.95,,,,,,,0.267,,
EPIC 210659945.01,CANDIDATE,27.9329,,,,3.24,0.174,0.0402,,60.0,2.51,,,,,,,0.573,,
EPIC 210664763.01,CANDIDATE,3.72007,,,,1.224,0.0225,0.0145,,20.0,1.55,,,,,,,0.986,,
EPIC 210666756.01,CANDIDATE,1.39657671,,,,1.586,0.189,,,,,,,,5805.0,4.48176,,0.96977,1.04,
EPIC 210678858.01,CANDIDATE,31.3537,,,,5.016,0.197,0.0432,,43.2,3.85,,,,,,,0.816,,
EPIC 210678858.02,CANDIDATE,14.8484,,,,3.6,0.1018,0.0302,,28.9,2.68,,,,,,,0.816,,
EPIC 210678858.03,CANDIDATE,10.0696,,,,3.096,0.0395,0.019,,21.9,1.69,,,,,,,0.816,,
EPIC 210696763.01,CANDIDATE,3.65017,,,,1.272,0.192,0.0423,,19.6,1.15,,,,,,,0.249,,
EPIC 210696763.02,CANDIDATE,5.76808,,,,1.8,0.209,0.0438,,22.2,1.19,,,,,,,0.249,,
EPIC 210696763.03,CANDIDATE,7.98471,,,,1.92,0.202,0.0439,,27.5,1.19,,,,,,,0.249,,
EPIC 210706310.01,CANDIDATE,5.1718,,,,,,,90.0307,,0.8891,0.051,,391.097,5941.0,4.328,-0.252,0.954,0.709,
EPIC 210708830.01,CANDIDATE,5.7408,,,,,,,89.9948,,1.0668,0.0627,,107.349,5342.0,4.704,0.015,0.76,1.067,
EPIC 210736056.01,CANDIDATE,29.0529,,,,,0.2,,,,,,,,3373.0,4.89895,,0.325107,0.305444,
EPIC 210769880.01,CANDIDATE,1.436756,,,,2.556,0.1125,0.093,,1.97,110.0,,,,,,,10.91,,
EPIC 210775710.01,CANDIDATE,59.84871,,,,4.284,1.1942,0.1031,,108.1,12.0,,,,,,,1.067,,
EPIC 210777017.01,CANDIDATE,11.376,,,,3.432,0.0946,0.0293,,23.0,2.03,,,,,,,0.636,,
EPIC 210801536.01,CANDIDATE,0.8925,,,,1.992,0.0162,0.0123,,3.02,2.7,,,,,,,2.0,,
EPIC 210813978.01,CANDIDATE,14.7619,,,,2.688,0.0714,0.0263,,38.5,2.11,,,,,,,0.735,,
EPIC 210843708.01,CANDIDATE,0.7041655,,,,1.775,0.117,,,,,,,,4564.0,,,9.3189,,
EPIC 210852232.01,CANDIDATE,1.93426,,,,2.184,0.0278,0.0162,,5.7,1.64,,,,,,,0.928,,
EPIC 210852232.02,CANDIDATE,3.43827,,,,0.8016,0.0414,0.0195,,29.1,1.98,,,,,,,0.928,,
EPIC 210877025.01,CANDIDATE,18.03895153,,,,6.304,0.121,,,,,,,,5089.61,4.47396,0.07,0.88619,0.853,
EPIC 210903662.01,CANDIDATE,2.41040731,,,,1.847,0.563,,,,,,,,6276.0,3.95894,,1.92538,1.23,
EPIC 210925707.01,CANDIDATE,1.6865884,,,,4.923,4.591,,,,,,,,6199.0,3.57767,,2.93748,1.19,
EPIC 210933299.01,CANDIDATE,8.4044,,,,2.256,0.144,0.037,,23.4,1.24,,,,,,,0.307,,
EPIC 210935498.01,CANDIDATE,1.1829266,,,,2.1168,1.5889,0.176,,3.905,29.0,,,,,,,1.51,,
EPIC 210945680.01,CANDIDATE,20.5949,,,,,,,89.079,,1.5097,0.1477,,58.55,5969.0,4.386,0.115,1.059,0.994,
EPIC 210956385.01,CANDIDATE,56.6205,,,,5.736,0.7187,0.0779,,76.0,7.68,,,,,,,0.904,,
EPIC 210958990.01,CANDIDATE,1.702301,,,,2.53896,,0.1369,,,19.1,,,,6116.0,4.24,,1.28,,
EPIC 210961508.01,CANDIDATE,0.3499146,,,,1.9032,0.11036,0.149,,1.274,39.4,,,,,,,2.43,,
EPIC 210965800.02,CANDIDATE,4.27681,,,,2.808,0.0536,0.0222,,10.0,2.27,,,,,,,0.938,,
EPIC 210965800.03,CANDIDATE,13.16121,,,,4.056,0.0731,0.0256,,22.0,2.62,,,,,,,0.938,,
EPIC 210965800.04,CANDIDATE,21.0858,,,,4.728,0.0872,0.0289,,29.7,2.95,,,,,,,0.938,,
EPIC 210965800.05,CANDIDATE,30.2894,,,,5.256,0.0549,0.0228,,38.0,2.33,,,,,,,0.938,,
EPIC 210965800.06,CANDIDATE,1.82876,,,,2.352,0.0235,0.0143,,5.24,1.46,,,,,,,0.938,,
EPIC 210967369.01,CANDIDATE,7.1149,,,,,,,90.0013,,0.9835,0.0589,,220.293,5534.0,4.411,0.32,0.953,0.845,
EPIC 211002562.01,CANDIDATE,3.347872,,,,3.7248,1.3334,0.1169,,5.484,28.1,,,,,,,2.2,,
EPIC 211009047.01,CANDIDATE,1.31982263,,,,1.588,0.213,,,,,,,,6196.8,3.58502,0.1399,2.91272,1.19,
EPIC 211058748.01,CANDIDATE,3.32257,,,,1.656,0.0476,0.0209,,13.7,2.53,,,,,,,1.108,,
EPIC 211064647.01,CANDIDATE,,,,,7.176,1.265,0.252,,,44.0,,,,,,,1.6,,
EPIC 211087003.01,CANDIDATE,,,,,6.792,0.796,0.0824,,,8.7,,,,,,,0.96,,
EPIC 211087003.02,CANDIDATE,28.29213,,,,4.464,0.127,0.0338,,46.5,3.55,,,,,,,0.96,,
EPIC 211106187.01,CANDIDATE,14.643071,,,,,,0.045931,89.36914,54.9762,66.04981083,,,,4883.0,2.27,-1.1,13.183733,,
EPIC 211107835.01,CANDIDATE,18.8652,,,,3.936,0.0561,0.0224,,32.5,1.57,,,,,,,0.642,,
EPIC 211133138.01,CANDIDATE,7.434876,,,,1.4736,0.6143,0.17,,21.7,32.0,,,,,,,1.74,,
EPIC 211147528.01,CANDIDATE,2.349545,,,,2.712,0.757,0.0828,,6.2,15.3,,,,,,,1.695,,
EPIC 211158357.01,CANDIDATE,0.2990737,,,,0.5256,2.051,0.3,,3.55,7.6,,,,,,,0.231,,
EPIC 211169300.01,CANDIDATE,16.43831081,,,,4.389,1.529,,,,,,,,5997.0,3.91664,,1.92033,1.11,
EPIC 211201576.01,CANDIDATE,5.88165,,,,3.528,0.0323,0.0173,,11.3,2.58,,,,,,,1.37,,
EPIC 211305568.01,CANDIDATE,11.55059,,,,,,0.041,88.7,37.16,1.98,,,,3677.0,4.76387,,0.469901,0.467536,
EPIC 211305568.02,CANDIDATE,0.19785,,,,,,0.015,79.23,2.51,0.72,,,,3677.0,4.76387,,0.469901,0.467536,
EPIC 211308899.01,CANDIDATE,6.423,,,0.151,4.88496,0.0395,0.019868,,,,,,,5053.72,,-1.194,5.86835,,
EPIC 211309648.01,CANDIDATE,3.1393226,,,0.31,,,0.0942,,6.25,15.43,0.0434,1780.0,,6283.0,4.18,0.05,1.5,1.24,
EPIC 211315836.01,CANDIDATE,1.385246,,,,0.8808,0.1243,0.0326,,11.51,5.01,,,,,,,1.407,,
EPIC 211319779.01,CANDIDATE,13.8253157,,,,,,,,,,,,,5163.0,4.58,-0.2,0.75,0.78,
EPIC 211321953.01,CANDIDATE,22.194346,,,0.568,4.8,,0.0272,,30.46,3.174,,,,5660.0,4.283,-0.441,1.069,0.806,
EPIC 211327855.01,CANDIDATE,1.72397,,,,1.488,0.0201,0.0137,,7.5,1.33,,,,,,,0.885,,
EPIC 211328748.01,CANDIDATE,17.178,,,0.0,2.45208,0.0219,0.014808,,,,,,,5814.52,4.20761,0.033,1.33351,1.046,
EPIC 211333233.01,CANDIDATE,5.409,,,0.028,2.34408,0.0172,0.013096,,,,,,,3949.0,,,45.4751,,
EPIC 211335816.01,CANDIDATE,4.99,,,0.487,0.86208,0.1907,0.043667,,,,,,,6242.0,4.09458,,1.63356,1.21,
EPIC 211336288.01,CANDIDATE,0.22181,,,,,,0.018,76.9,2.28,1.13,,,,3942.0,4.66358,,0.585409,0.576018,
EPIC 211336616.01,CANDIDATE,44.13,,,0.037,4.63488,0.0427,0.020655,,,,,,,4865.94,,-0.6889,10.7024,,
EPIC 211342524.01,CANDIDATE,14.448987,,,,3.7632,3.8361,0.45,,25.25,86.0,,,,,,,1.739,,
EPIC 211357309.01,CANDIDATE,0.463954,,,,0.9888,0.0326,0.018,,2.97,0.53,,,,,,,0.272,,
EPIC 211365543.01,CANDIDATE,5.264,,,0.148,4.18488,0.0096,0.009804,,,,,,,6190.82,4.11773,-0.169,1.5774,1.19,
EPIC 211372788.01,CANDIDATE,1.529084,,,,2.1936,1.0527,0.267,,3.964,48.0,,,,,,,1.654,,
EPIC 211375488.01,CANDIDATE,4.166738,,,1.26,2.7312,,0.4348,,,94.8,,,,,,,2.0,,
EPIC 211383821.01,CANDIDATE,1.56699,,,,2.112,0.046,0.0203,,5.0,1.34,,,,,,,0.603,,
EPIC 211390903.01,CANDIDATE,7.757595,,,,,0.075,0.0251,89.17,,1.95,,,,,,,0.713,,
EPIC 211393988.01,CANDIDATE,4.8718955,,,0.33,,,0.0735,,8.94,14.64,0.074,1663.0,,6972.0,4.1,0.02,1.82,1.53,
EPIC 211396431.01,CANDIDATE,8.514184,,,0.93,11.0,,0.0418,,2.71,38.298,,,,4885.0,2.69,-0.425,8.384,1.254,
EPIC 211397844.01,CANDIDATE,16.168833,,,,3.1944,0.4046,,,,,,,,5186.0,3.371,,5.653,,
EPIC 211407755.01,CANDIDATE,36.109,,,,3.192,0.49,0.145,,46.0,8.0,,,,,,,0.504,,
EPIC 211408558.01,CANDIDATE,9.967689,,,0.079,4.3,,0.0178,,17.94,2.005,,,,5882.0,4.455,0.113,1.031,1.103,
EPIC 211413463.01,CANDIDATE,3.25182,,,1.37,2.7192,,0.4864,,,33.2,,,,,,,0.63,,
EPIC 211418290.01,CANDIDATE,5.032134,,,,8.5992,1.048,0.0941,,4.915,25.83,,,,,,,2.516,,
EPIC 211419451.01,CANDIDATE,6.45795,,,,1.032,0.0788,0.0271,,41.6,2.78,,,,,,,0.9389,,
EPIC 211424769.01,CANDIDATE,5.176243,,,,,,0.159299,85.08481,12.490944,19.44301811,,,,6185.0,4.34,-0.12,1.118972,,
EPIC 211428897.01,CANDIDATE,1.610888,,,,1.2048,0.0696,0.025,,9.1,0.82,,,,,,,0.299,,
EPIC 211428897.02,CANDIDATE,2.178008,,,,1.2768,0.0453,0.0205,,11.9,0.67,,,,,,,0.299,,
EPIC 211428897.03,CANDIDATE,4.96792,,,,1.296,0.0572,0.0231,,26.1,0.75,,,,,,,0.299,,
EPIC 211428897.04,CANDIDATE,6.26561,,,,1.512,0.058,0.0235,,26.6,0.77,,,,,,,0.299,,
EPIC 211428897.05,CANDIDATE,3.28963,,,,2.04,0.0259,0.0156,,10.5,0.51,,,,,,,0.299,,
EPIC 211432103.01,CANDIDATE,0.93346092,,,,2.338,0.194,,,,,,,,6035.64,3.65014,0.219,2.62165,1.12,
EPIC 211432922.01,CANDIDATE,5.81861,,,,3.888,0.689,0.081,,10.1,3.4,,,,,,,0.38,,
EPIC 211436313.01,CANDIDATE,4.332837,,,0.312,2.4,,0.0286,,13.62,2.263,,,,4768.0,4.693,-0.136,0.725,0.942,
EPIC 211436876.01,CANDIDATE,1.1524,,,,,,,89.9962,,0.6746,0.0125,,8270.029,5992.0,4.386,-0.095,1.057,0.992,
EPIC 211438731.01,CANDIDATE,20.486455,,,0.722,2.0,,0.0682,,60.56,2.762,,,,3664.0,4.852,0.069,0.371,0.357,
EPIC 211439059.01,CANDIDATE,18.6393,,,,5.64,0.0399,0.0193,,22.0,1.73,,,,,,,0.821,,
EPIC 211442571.01,CANDIDATE,5.19287,,,,2.472,0.0211,0.01434,,13.8,1.29,,,,,,,0.826,,
EPIC 211442571.02,CANDIDATE,3.39934,,,,2.184,0.015,0.012,,10.3,1.08,,,,,,,0.826,,
EPIC 211451776.01,CANDIDATE,12.17682,,,0.232,2.9,,0.0323,,32.13,2.244,,,,4477.0,4.739,-0.485,0.637,0.812,
EPIC 211469889.01,CANDIDATE,7.07737,,,,3.072,0.0907,0.0291,,15.7,2.1,,,,,,,0.662,,
EPIC 211480861.01,CANDIDATE,6.3508198,,,,,,,,,,,,,7461.0,4.03,0.03,2.11,1.74,
EPIC 211492384.01,CANDIDATE,0.635328,,,,1.3032,0.1315,,,,,,,,6420.0,4.176,,1.531,,
EPIC 211492449.01,CANDIDATE,16.24196986,,,,4.391,0.241,,,,,,,,4499.02,,-0.54,10.4554,,
EPIC 211503824.01,CANDIDATE,2.047195,,,,1.8936,0.0255,,,,,,,,6150.0,4.476,,0.958,,
EPIC 211505089.01,CANDIDATE,24.4472,,,,6.36,0.0718,0.0257,,27.2,1.82,,,,,,,0.647,,
EPIC 211506851.01,CANDIDATE,10.542179,,,0.526,3.3,,0.0312,,21.49,3.123,,,,5441.0,4.423,0.021,0.916,0.81,
EPIC 211510580.01,CANDIDATE,5.31471,,,,1.896,0.1511,0.0374,,18.7,1.45,,,,,,,0.355,,
EPIC 211516501.01,CANDIDATE,3.84981,,,,3.36,0.0153,0.01204,,7.6,1.86,,,,,,,1.42,,
EPIC 211533633.01,CANDIDATE,2.126953,,,,1.416,0.0707,,,,1.7,,,,4020.0,4.696,,0.573,,
EPIC 211535327.01,CANDIDATE,20.2244,,,,4.176,0.1132,0.0323,,33.2,2.94,,,,,,,0.8325,,
EPIC 211537087.02,CANDIDATE,42.3822512,,,0.4,,,0.0274,,67.6,2.58,0.2688,482.0,,5568.0,4.52,-0.11,0.86,0.9,
EPIC 211537087.03,CANDIDATE,41.9,,,0.7,,,0.0243,,57.0,2.28,0.228,82.0,,5568.0,4.52,-0.11,0.86,0.9,
EPIC 211541590.01,CANDIDATE,9.81881482,,,,3.206,0.285,,,,,,,,3463.0,4.81652,,0.411081,0.403933,
EPIC 211543616.01,CANDIDATE,1.518232,,,,3.0816,35.6389,,,,,,,,5510.0,4.237,,1.209,,
EPIC 211544257.01,CANDIDATE,1.63013,,,,2.2848,4.6964,,,,,,,,6190.0,4.136,,1.602,,
