group_id,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
8429817,6.263491873,0.0,0.048,0.8513,2829.0,0.049515,89.95,58.93,6.46,0.0651,1180.0,458.5,6247.0,4.255,-0.5,1.194,0.936
8432249,335.43143,0.0,0.4062,10.3,228.1,0.01382,89.95,231.0,7.12,1.1236,468.0,11.31,5172.0,3.315,-0.16,4.721,1.679
8439618,558.21886,0.0,0.022,13.556,1539.4,0.035749,90.0,325.7,3.1,1.2704,198.0,0.36,5679.0,4.581,-0.32,0.794,0.886
9209981,290.02002,0.0,0.5367,23.87,172.5,0.012446,89.38,79.7,1.56,0.9025,321.0,2.51,6452.0,4.384,-0.12,1.148,1.164
9210738,279.21957,0.0,0.6009,10.015,333.5,0.017301,89.95,174.8,4.92,0.8635,395.0,5.77,5159.0,3.648,-0.24,2.604,1.101
9214176,348.665961,0.0,0.0873,3.849,391.2,0.017899,89.95,702.0,9.56,1.0528,493.0,13.93,5183.0,3.166,-0.58,4.89,1.276
9217583,222.28056,0.0,0.2151,3.035,271.9,0.015286,89.95,555.0,2.56,0.777,405.0,6.37,6543.0,4.17,-0.12,1.531,1.268
9220614,570.01886,0.0,0.1946,3.52,428.5,0.018755,89.95,1237.0,1.62,1.282,190.0,0.31,5496.0,4.579,-0.2,0.79,0.863
9224514,378.93139106,,,14.11,,,,,,,,,,,,,
9229807,580.85326788,,,16.63,,,,,,,,,,,,,
10146103,7.58062893,0.0,0.382,3.484,86.1,0.00854,88.59,15.53,0.97,0.0764,937.0,182.01,5753.0,4.417,0.2,1.041,1.034
7458743,248.421771,0.0,0.7838,4.187,704.0,0.026949,89.95,301.0,18.92,0.8927,579.0,26.64,4895.0,3.008,-0.04,6.428,1.533
7539277,551.22396,0.0,0.2134,5.896,570.7,0.021706,89.95,714.0,2.1,1.3184,206.0,0.42,5691.0,4.544,0.07,0.887,1.003
11444772,395.94327,0.0,0.1116,16.09,1506.0,0.034141,89.95,193.3,2.53,0.9443,172.0,0.21,4596.0,4.63,-0.04,0.678,0.714
11444974,76.37924,0.0,0.7333,0.645,276.3,0.016922,89.95,637.0,1.73,0.3286,406.0,6.41,5451.0,4.404,-0.14,0.936,0.81
11446961,58.669218,0.0,0.332,3.712,169.4,0.011875,89.95,115.4,1.28,0.2918,450.0,9.68,5548.0,4.433,0.2,0.986,0.961
11453930,355.84731,0.0,0.1578,16.68,123.9,0.010324,89.95,162.6,1.68,1.08,354.0,3.71,6823.0,4.212,-0.14,1.493,1.332
11456256,61.611129,0.0,0.364,14.96,82.9,0.008499,89.29,29.6,1.29,0.323,597.0,30.02,6533.0,4.227,-0.24,1.386,1.184
11457664,150.728285,0.0,0.2751,2.718,213.5,0.013405,89.95,413.0,1.27,0.5487,321.0,2.51,5778.0,4.544,-0.1,0.871,0.967
11465658,253.790434,0.0,0.1412,3.702,604.0,0.022145,89.95,530.0,2.06,0.7588,253.0,0.97,5426.0,4.535,0.04,0.85,0.902
11493378,35.6606167,,,1.59,,,,,,,,,,,,,
11513366,587.38162,0.0,0.6822,11.973,863.6,0.028445,89.95,288.0,36.77,1.8953,527.0,18.29,4784.0,2.711,0.36,11.839,2.629
11520114,7.07987663,0.0,0.034,2.589,309.8,0.015507,89.91,21.21,1.36,0.0666,738.0,70.05,4808.0,4.521,0.28,0.806,0.785
11520465,91.240335,0.0,0.1436,2.314,206.1,0.013278,89.95,302.0,1.75,0.4058,494.0,14.03,6493.0,4.305,-0.3,1.205,1.065
11559493,357.41382,0.0,0.1438,3.675,777.0,0.025637,89.95,754.43,3.01,1.0151,283.0,1.52,6233.0,4.412,-0.08,1.076,1.086
11598638,359.854745,0.0,0.8071,3.429,302.4,0.017642,89.95,497.0,2.25,1.0501,302.0,1.97,6495.0,4.379,-0.1,1.168,1.19
11598894,89.366114,0.0,0.39,3.945,494.0,0.020614,89.95,163.2,1.97,0.3819,391.0,5.54,5861.0,4.522,-0.26,0.875,0.929
11599937,37.6259039,0.0,0.49,3.91,411.0,0.018992,89.57,65.7,1.81,0.2172,519.0,17.13,5874.0,4.542,-0.2,0.871,0.963
11600299,100.41475198,,,1.72,,,,,,,,,,,,,
11601425,41.9934673,0.0,0.046,3.226,293.7,0.015566,89.97,100.9,1.56,0.2335,503.0,15.19,5766.0,4.498,-0.06,0.915,0.963
