kepid,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2
6147573,FALSE POSITIVE,25.836831272,1.637e-06,-1.637e-06,0.0,,,,,,0.899,0.021,-0.022,6.32201,0.0026,-0.0026,145040.0,39.8,-39.8,0.517837,0.013488,-0.016461,88.65,,,38.191,0.157,-0.157,50.72,13.41,-5.76,0.164,,,587.0,,,28.08,21.8,-8.28,5691.0,152.0,-152.0,4.477,0.078,-0.182,-0.2,0.3,-0.3,0.897,0.237,-0.102,0.881,0.111,-0.083,,,
8164257,CONFIRMED,6.47539108,2.105e-05,-2.105e-05,0.0,,,,,,0.486,0.027,-0.443,2.7048,0.0816,-0.0816,530.6,20.8,-20.8,0.02122,0.000176,-0.001303,88.31,,,16.44,4.7,-4.7,1.92,0.07,-0.15,0.0629,,,793.0,,,93.41,13.94,-19.03,4954.0,79.0,-79.0,4.5,0.072,-0.023,0.18,0.15,-0.15,0.828,0.032,-0.065,0.791,0.05,-0.029,,,
7979297,CANDIDATE,292.09809,0.02104,-0.02104,0.0,,,,,,0.5155,0.0827,-0.402,14.43,1.4,-1.4,528.8,57.3,-57.3,0.021637,0.001058,-0.001566,89.95,,,136.4,67.9,-67.9,2.09,0.74,-0.17,0.8541,,,267.0,,,1.2,1.26,-0.3,5955.0,158.0,-174.0,4.534,0.032,-0.264,-0.24,0.26,-0.3,0.883,0.315,-0.072,0.972,0.095,-0.121,,,
4770798,CANDIDATE,651.07431,0.01577,-0.01577,0.0,,,,,,0.0343,0.4067,-0.0341,5.603,0.625,-0.625,153.7,26.2,-26.2,0.011226,0.000964,-0.001276,89.95,,,897.0,208.0,-208.0,1.55,0.59,-0.35,1.4502,,,234.0,,,0.71,0.81,-0.32,5696.0,156.0,-148.0,4.218,0.207,-0.219,0.04,0.24,-0.26,1.261,0.482,-0.28,0.959,0.154,-0.084,,,
4570931,FALSE POSITIVE,1.544927524,2.74e-06,-2.74e-06,0.0,,,,,,0.533,0.002,-0.462,1.0134,0.0535,-0.0535,138.5,7.0,-7.0,0.011226,0.000113,-0.000636,86.95,,,10.03,3.7,-3.7,1.39,0.41,-0.19,0.0264,,,1824.0,,,2606.96,2292.85,-914.58,6309.0,169.0,-207.0,4.34,0.108,-0.201,-0.26,0.25,-0.3,1.132,0.34,-0.157,1.018,0.172,-0.115,,,
4937143,FALSE POSITIVE,9.84883968,3.732e-05,-3.732e-05,0.0,,,,,,1.25,5.196,-0.113,5.7425,0.0377,-0.0377,22012.0,114.0,-114.0,0.443343,5.136046,-0.100215,82.49,,,9.56,4.8,-4.8,63.42,18.93,-10.21,0.0955,,,1134.0,,,390.19,343.59,-161.73,6938.0,192.0,-312.0,4.281,0.105,-0.195,-0.44,0.25,-0.3,1.31,0.391,-0.211,1.198,0.185,-0.166,,,
10812504,FALSE POSITIVE,4.4296786,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9836563,CANDIDATE,4.72693131,7.116e-05,-7.116e-05,0.0,,,,,,0.065,0.383,-0.065,4.036,0.355,-0.355,26.2,2.6,-2.6,0.004665,0.00028,-0.000277,89.58,,,8.99,0.504,-0.504,0.61,0.12,-0.08,0.0569,,,1203.0,,,495.58,248.36,-142.01,5950.0,71.0,-83.0,4.323,0.096,-0.144,0.14,0.15,-0.15,1.196,0.235,-0.157,1.1,0.077,-0.07,,,
6531496,FALSE POSITIVE,14.323889947,5.415e-06,-5.415e-06,0.0,,,,,,1.073,0.029,-0.027,4.83729,0.00711,-0.00711,69072.0,96.4,-96.4,0.469972,0.023409,-0.022286,87.3,,,22.759,0.257,-0.257,45.93,13.35,-4.46,0.115,,,720.0,,,63.62,54.63,-18.63,5853.0,163.0,-204.0,4.529,0.048,-0.204,-0.1,0.25,-0.3,0.895,0.26,-0.087,0.99,0.113,-0.126,,,
1718189,CANDIDATE,86.723653,0.001758,-0.001758,0.0,,,,,,0.662,0.31,-0.466,4.852,0.506,-0.506,241.0,28.0,-28.0,0.014997,0.00394,-0.00133,89.64,,,105.1,52.5,-52.5,1.43,0.39,-0.12,0.3799,,,391.0,,,5.5,4.24,-1.42,5830.0,146.0,-161.0,4.54,0.044,-0.187,-0.14,0.3,-0.3,0.876,0.234,-0.078,0.97,0.099,-0.122,,,
