group_id,label,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth_ppm,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
11442465,0,33.93373447,0.0,0.812,14.561,8503.7,0.095386,86.45,13.12,7.34,0.1881,430.0,8.11,5040.0,4.628,-0.24,0.705,0.782
12110942,1,3.689920099,0.0,0.151,2.6557,426.7,0.018878,89.19,10.71,1.89,0.0469,1147.0,408.99,5880.0,4.518,-0.06,0.917,1.01
12404086,1,26.39432897,0.0,0.602,3.573,1510.9,0.03681,89.28,47.7,3.07,0.1635,489.0,13.49,5129.0,4.595,0.02,0.763,0.846
8395660,1,13.57078281,0.0,0.866,3.3539,511.7,0.023908,87.07,16.93,2.64,0.1096,785.0,89.61,5854.0,4.406,-0.12,1.012,0.951
9579641,1,7.12594387,0.0,0.898,3.0014,192.4,0.01512,84.02,8.62,1.79,0.0711,997.0,233.31,5779.0,4.339,-0.06,1.087,0.941
11656840,0,7.442652004,0.0,0.137,2.3078,24446.0,0.143936,89.72,27.99,15.03,0.0742,967.0,206.78,6108.0,4.469,-0.3,0.956,0.981
11812062,1,3.728732147,0.0,0.558,2.683,5226.5,0.068178,86.7,9.7,6.02,0.0455,1023.0,258.34,5497.0,4.577,-0.1,0.809,0.907
11853255,1,2.243380573,0.0,0.915,1.1196,821.7,0.032248,82.88,7.38,1.99,0.028,822.0,107.6,4149.0,4.698,-0.32,0.564,0.578
11909839,0,10.405998015,0.0,0.324,6.5036,14489.0,0.111248,88.57,13.012,11.23,0.0855,833.0,113.94,5746.0,4.393,-0.54,0.924,0.77
11918099,1,2.337437946,0.0,0.28,1.9982,971.2,0.027998,88.19,8.86,2.34,0.0325,1070.0,311.16,5005.0,4.595,0.14,0.765,0.85
11923270,1,11.59822233,0.0,0.679,2.5237,2804.5,0.051287,88.62,28.2,2.65,0.0798,396.0,5.82,3688.0,4.79,0.0,0.473,0.503
11960862,1,6.575315881,0.0,0.39,4.3084,2793.3,0.049152,88.03,11.37,5.31,0.067,1015.0,251.38,5992.0,4.415,-0.32,0.989,0.927
12020329,1,7.275040844,0.0,0.547,7.5377,3001.0,0.051358,85.29,6.66,4.86,0.0732,833.0,113.64,5485.0,4.556,0.21,0.867,0.986
12066335,1,19.27153892,0.0,0.031,2.7594,1219.8,0.031585,89.97,55.02,1.93,0.1171,393.0,5.66,4077.0,4.702,-0.24,0.56,0.576
12066335,1,10.06524317,0.0,0.628,1.369,1053.3,0.031153,89.22,45.9,1.91,0.076,488.0,13.43,4077.0,4.702,-0.24,0.56,0.576
8395660,1,43.84439721,0.0,0.852,6.802,615.2,0.025934,88.27,28.2,2.87,0.2395,531.0,18.77,5854.0,4.406,-0.12,1.012,0.951
3120431,0,3.341913228,0.0,1.213,3.813,725.3,0.243351,56.44,2.19,21.55,0.0415,1032.0,268.67,5295.0,4.551,-0.02,0.811,0.853
3246984,0,1.626630225,0.0,1.26,2.1145,1620.6,0.305244,58.03,2.38,32.43,0.026,1547.0,1355.88,5735.0,4.41,-0.18,0.973,0.889
12470844,1,8.47237911,0.0,0.022,2.7245,1123.5,0.030119,89.95,24.47,2.59,0.0778,751.0,75.44,5354.0,4.587,-0.08,0.788,0.884
12470844,1,60.4189369,0.0,0.094,5.039,931.3,0.027422,89.94,93.71,2.36,0.2884,390.0,5.49,5354.0,4.587,-0.08,0.788,0.884
2440757,0,1.433769925,0.0,1.268,1.8868,1976.3,0.318591,58.99,2.46,46.58,0.0256,1920.0,3209.29,6017.0,4.22,0.02,1.339,1.083
2445129,0,10.31872301,0.0,1.215,3.836,871.7,0.247006,78.15,5.92,28.59,0.0944,876.0,139.26,5927.0,4.409,0.07,1.06,1.05
2713049,1,2.539183147,0.0,0.238,2.4282,382.1,0.017724,88.28,7.93,2.06,0.0355,1332.0,743.09,5519.0,4.35,0.14,1.062,0.921
3114167,1,6.770300385,0.0,0.838,2.0844,1304.0,0.037414,86.84,15.21,2.77,0.064,812.0,102.87,5653.0,4.656,-0.84,0.679,0.767
4139816,1,20.06036336,0.0,0.556,3.3203,1494.7,0.036455,89.21,40.4,1.96,0.115,361.0,4.0,3950.0,4.754,-0.46,0.493,0.502
4139816,1,46.1842039,0.0,0.013,4.758,1394.7,0.033974,89.99,76.67,1.83,0.2005,273.0,1.32,3950.0,4.754,-0.46,0.493,0.502
8395660,1,23.9800854,0.0,0.95,5.351,104.0,0.011879,85.45,11.98,1.31,0.1602,649.0,41.94,5854.0,4.406,-0.12,1.012,0.951
4139816,1,7.82502168,0.0,0.708,2.186,520.8,0.022312,87.99,20.2,1.2,0.0614,494.0,14.05,3950.0,4.754,-0.46,0.493,0.502
4275191,1,3.895936525,0.0,0.524,2.3111,8544.8,0.08689,87.56,12.29,7.34,0.046,1005.0,241.62,5557.0,4.592,-0.3,0.774,0.866
4476123,1,22.36646466,0.0,0.4,5.228,986.8,0.028938,89.26,31.0,2.32,0.1449,536.0,19.45,5395.0,4.615,-0.34,0.734,0.821
3351888,1,1.625522174,0.0,0.076,2.38963,7969.0,0.080543,89.22,5.6364,9.73,0.0265,1579.0,1467.41,5539.0,4.322,0.16,1.106,0.935
3554600,0,7.544039,0.0,1.175,6.222,322.6,0.194187,58.94,2.28,17.47,0.0731,838.0,116.46,5657.0,4.567,-0.18,0.824,0.919
3734868,0,10.328035714,0.0,0.281,7.7915,16918.0,0.118805,88.54,10.988,13.28,0.0888,843.0,119.31,5627.0,4.359,-0.1,1.024,0.874
3832474,1,143.2063047,0.0,0.379,8.9302,10566.0,0.094044,89.83,125.8,8.9,0.5336,308.0,2.14,5485.0,4.556,0.21,0.867,0.986
8395660,1,6.164876,0.0,0.646,3.262,55.8,0.007192,86.69,11.19,0.79,0.0648,1021.0,256.35,5854.0,4.406,-0.12,1.012,0.951
3832474,1,60.32494216,0.0,0.224,6.6188,20280.0,0.128744,89.83,77.04,12.19,0.2998,411.0,6.77,5485.0,4.556,0.21,0.867,0.986
3832474,1,29.1598615,0.0,0.3619,4.803,488.0,0.02018,89.38,44.2,1.91,0.1847,524.0,17.85,5485.0,4.556,0.21,0.867,0.986
3838486,0,2.99025443,0.0,0.014,5.414,589.2,0.021279,89.81,4.349,1.7,0.0367,918.0,168.45,4667.0,4.578,0.1,0.731,0.737
3935914,1,1.594745374,0.0,0.514,1.9604,15044.0,0.115879,85.25,6.203,11.3,0.0258,1539.0,1329.42,5934.0,4.491,-0.38,0.893,0.901
3940418,1,4.783002698,0.0,0.003,2.335,1008.7,0.028315,89.99,16.102,2.5,0.0535,886.0,145.48,5170.0,4.574,0.18,0.807,0.891
4049131,1,20.50588921,0.0,0.26,4.0595,2105.5,0.041039,89.62,38.91,3.41,0.1326,518.0,17.06,4905.0,4.544,-0.04,0.761,0.739
4139816,1,3.340218842,0.0,0.466,1.9104,1632.6,0.037683,87.85,12.4,2.03,0.0348,656.0,43.73,3950.0,4.754,-0.46,0.493,0.502
5287983,0,2.507089906,0.0,1.255,2.0067,1339.2,0.295115,67.79,3.32,30.26,0.0365,1326.0,730.47,5926.0,4.506,-0.04,0.939,1.03
5358241,1,18.64932728,0.0,0.08,4.4056,893.6,0.027096,89.86,33.12,3.12,0.139,701.0,57.13,5775.0,4.405,0.16,1.053,1.026
5358241,1,9.75192101,0.0,0.949,4.793,418.0,0.024042,80.97,6.05,2.76,0.0902,870.0,135.66,5775.0,4.405,0.16,1.053,1.026
5358241,1,38.5576546,0.0,0.911,5.794,993.0,0.03498,87.91,24.9,4.02,0.2255,550.0,21.71,5775.0,4.405,0.16,1.053,1.026
5358624,1,3.525632539,0.0,0.12,2.59959,22335.0,0.13372,89.41,11.699,11.58,0.0431,975.0,213.12,5150.0,4.572,0.08,0.793,0.855
4664847,1,7.748094239,0.0,0.517,3.5957,2472.1,0.046615,88.02,15.0,5.52,0.081,964.0,204.39,5973.0,4.439,0.36,1.085,1.181
4913852,1,8.11437482,0.0,0.573,2.2736,1558.0,0.037204,88.61,23.58,2.1,0.0649,460.0,10.55,3692.0,4.753,0.28,0.517,0.553
5021899,1,21.81295996,0.0,0.053,4.3791,1175.4,0.030952,89.92,39.183,3.38,0.1495,639.0,39.33,5601.0,4.41,0.08,0.999,0.934
5077629,0,7.91936937,0.0,0.733,3.3148,15148.0,0.121984,87.3,15.534,10.34,0.0737,814.0,104.0,5690.0,4.588,-0.4,0.776,0.852
5164255,1,15.37562369,0.0,0.692,3.3169,15337.0,0.12103,88.73,31.24,11.01,0.1121,600.0,30.54,4986.0,4.496,0.16,0.833,0.793
5252423,1,8.10363271,0.0,0.047,3.161,887.9,0.026361,89.87,20.09,2.11,0.0712,687.0,52.82,4861.0,4.574,-0.08,0.732,0.733
5252423,1,4.71510843,0.0,0.258,2.506,417.5,0.018268,88.96,14.18,1.46,0.0496,823.0,108.84,4861.0,4.574,-0.08,0.732,0.733
5272878,1,6.365839713,0.0,0.524,2.9721,780.7,0.026275,87.92,14.46,2.44,0.0659,914.0,165.33,5776.0,4.554,-0.18,0.849,0.939
5283542,0,5.97581754,0.0,0.941,3.065,962.4,0.035468,81.71,6.53,3.86,0.066,1047.0,284.25,6108.0,4.471,-0.08,0.997,1.072
5649215,0,2.446737317,0.0,1.241,4.7211,1177.9,0.278526,44.81,1.749,26.25,0.0351,1261.0,597.19,5764.0,4.548,-0.12,0.863,0.959
5651104,1,3.04033046,0.0,0.736,1.8411,10859.0,0.104023,85.95,10.41,8.99,0.0374,1021.0,257.29,5035.0,4.519,-0.06,0.791,0.754
5792202,1,15.33528675,0.0,0.773,3.897,3081.4,0.056,87.95,21.65,5.0,0.1179,610.0,32.67,5251.0,4.581,0.21,0.817,0.926
5792202,1,31.33046135,0.0,0.798,5.176,5073.8,0.072904,88.62,33.19,6.5,0.1898,481.0,12.61,5251.0,4.581,0.21,0.817,0.926
5370302,0,3.9043425,0.0,0.709,3.831,16228.0,0.125229,84.06,6.856,12.28,0.0484,1104.0,351.05,5810.0,4.526,-0.06,0.898,0.989
5372966,0,9.286358079,0.0,0.377,3.49949,44791.0,0.19639,89.06,23.029,17.61,0.081,796.0,95.03,5670.0,4.523,-0.4,0.821,0.82
5436502,1,23.65369415,0.0,0.008,8.2183,3341.8,0.05219,89.98,23.142,7.89,0.1658,731.0,67.65,5739.0,4.191,0.3,1.384,1.083
5436502,1,13.23352214,0.0,0.014,6.7372,504.6,0.020278,89.95,15.32,3.06,0.1126,888.0,146.67,5739.0,4.191,0.3,1.384,1.083
